id,school,committee_no,circle,table_1,gender,table_2,address,voter_count,committee_count,tag
84,مدرسة جميلة طنا العنزي الابتدائية للبنات,28,4,النسيم,اناث,-,-,5880,6,"{أمة 24, الدائرة 4, اناث, النسيم}"
85,مدرسة ابن ماجد الابتدائية للبنين,1,5,الأحمدي,ذكور,,الاحمدي ق 5 ش المدارس,2596,2,"{أمة 24, الدائرة 5, ذكور, الأحمدي}"
86,روضة ابن حيان,2,5,الأحمدي,اناث,,الاحمدي ق 12 ش المحافظة,2791,2,"{أمة 24, الدائرة 5, اناث, الأحمدي}"
87,مدرسة عبد الرحمن بن أبي بكر المتوسطه للبنين,3,5,هدية,ذكور,,هديه ق 1 ش ابراهيم الموصلي,4337,4,"{أمة 24, الدائرة 5, ذكور, هدية}"
88,مدرسة زينب بنت خزيمه المتوسطه للبنات,4,5,هدية,اناث,,هديه ق 4  ش ابراهيم الموصلي,4381,3,"{أمة 24, الدائرة 5, اناث, هدية}"
89,مدرسة أحمد بن محمد الفارسي المتوسطه للبنين,5,5,الفنطاس والمهبولة,ذكور,أبوحليفة,الفنطاس ق 2 ش 19,3759,3,"{أمة 24, الدائرة 5, ذكور, الفنطاس والمهبولة}"
90,مدرسة فاطمه عبدالله الحقان الابتدائية للبنات,6,5,الفنطاس والمهبولة,اناث,أبوحليفة,الفنطاس ق 2 ش19,4125,3,"{أمة 24, الدائرة 5, اناث, الفنطاس والمهبولة}"
91,مدرسة عبد الوهاب الفارس الابتدائية للبنين,7,5,ضاحية صباح السالم,ذكور,العقيلة,صباح السالم ق 9 ش 3,14157,10,"{أمة 24, الدائرة 5, ذكور, ضاحية صباح السالم}"
92,مدرسة نفيسه بنت الحسن  الابتدائية للبنات,8,5,ضاحية صباح السالم,اناث,العقيلة,صباح السالم ق 9 ش 2,15986,12,"{أمة 24, الدائرة 5, اناث, ضاحية صباح السالم}"
93,ثانوية سالم المبارك الصباح للبنين,9,5,الرقة,ذكور,,الرقة ق 5 ش الغوص,7153,9,"{أمة 24, الدائرة 5, ذكور, الرقة}"
94,مدرسة غزيه بنت جابر الابتدائية للبنات,10,5,الرقة,اناث,,الرقة ق 6 ش 8,8176,8,"{أمة 24, الدائرة 5, اناث, الرقة}"
95,المعهد الديني الثانوي للبنين,11,5,الصباحية,ذكور,,الصباحيه /خلف مبنى المحكمة,10417,12,"{أمة 24, الدائرة 5, ذكور, الصباحية}"
96,مدرسة عفراء بنت عبيد الابتدائية للبنات,12,5,الصباحية,اناث,,الصباحية ق 5 ش المدارس,11643,12,"{أمة 24, الدائرة 5, اناث, الصباحية}"
97,ثانوية هارون الرشيد للبنين,13,5,الظهر,ذكور,,الظهر ق 5 الشارع الاول,5972,5,"{أمة 24, الدائرة 5, ذكور, الظهر}"
98,ثانوية معاذة الغفارية للبنات,14,5,الظهر,اناث,,الظهر ق 2  ش المدارس,6517,6,"{أمة 24, الدائرة 5, اناث, الظهر}"
99,مدرسة حصه الحنيف المتوسطه للبنات,15,5,القرين,ذكور,مبارك الكبير,القرين ق 4 ش الشهداء,8661,9,"{أمة 24, الدائرة 5, ذكور, القرين}"
100,مدرسة حسين العسعوسي الابتدائية للبنين,16,5,القرين,اناث,مبارك الكبير,القرين ق 4 ش 1,8767,8,"{أمة 24, الدائرة 5, اناث, القرين}"
101,مدرسة ابن زهير الأندلسي المتوسطة للبنين,17,5,العدان,ذكور,القصور,العدان  قطعة 6  شارع الغوص,8273,6,"{أمة 24, الدائرة 5, ذكور, العدان}"
102,مدرسة العدان الابتدائية للبنات,18,5,العدان,اناث,القصور,العدان قطعة 2 الشارع الأول,8284,7,"{أمة 24, الدائرة 5, اناث, العدان}"
103,مدرسة عائشة الشريف الابتدائية للبنات,19,5,القصور,ذكور,القصور,,7424,7,"{أمة 24, الدائرة 5, ذكور, القصور}"
104,مدرسة هيلة بو طيبان المتوسطة للبنات,20,5,القصور,اناث,القصور,,7656,7,"{أمة 24, الدائرة 5, اناث, القصور}"
